imdb_id,budget,revenue,certification,original_language
tt0179098,21000000.0,10011000.0,PG-13,en
tt0179144,0.0,0.0,,en
tt0179183,11000000.0,0.0,R,en
tt0179220,0.0,0.0,,en
tt0179344,0.0,0.0,R,en
tt0179400,0.0,0.0,,en
tt0179435,0.0,0.0,R,en
tt0179443,0.0,0.0,,en
tt0179473,4000000.0,0.0,R,en
tt0179626,60000000.0,56360000.0,R,en
tt0179653,0.0,0.0,,en
tt0179803,0.0,0.0,PG,en
tt0179861,0.0,0.0,,en
tt0180052,100000000.0,7103970.0,PG-13,en
tt0180073,13500000.0,7060880.0,,en
tt0180093,4500000.0,7390110.0,R,en
tt0180679,0.0,0.0,PG-13,en
tt0180683,0.0,0.0,,en
tt0180734,32000000.0,40222700.0,PG-13,en
tt0181151,60000000.0,0.0,R,en
tt0181311,0.0,0.0,,it
tt0181536,43000000.0,80049800.0,PG-13,en
tt0181594,0.0,0.0,,en
tt0181689,102000000.0,358373000.0,PG-13,en
tt0181739,75000000.0,13596900.0,PG,en
tt0181836,0.0,0.0,R,en
tt0181852,200000000.0,435000000.0,R,en
tt0181865,48000000.0,207516000.0,R,en
tt0181875,60000000.0,47386300.0,NR,en
tt0181945,0.0,0.0,,en
tt0181984,7000000.0,28780300.0,R,en
tt0182000,13500000.0,794481.0,,en
tt0182027,0.0,0.0,,en
tt0182295,13000000.0,299792.0,,en
tt0182508,0.0,0.0,,en
tt0183056,0.0,0.0,,en
tt0183113,0.0,0.0,,en
tt0183142,0.0,0.0,,en
tt0183280,0.0,0.0,R,fr
tt0183423,0.0,0.0,,en
tt0183488,0.0,0.0,,en
tt0183505,51000000.0,149271000.0,R,en
tt0183523,90000000.0,60874600.0,PG,en
tt0183550,0.0,0.0,,en
tt0183639,0.0,0.0,,en
tt0183649,13000000.0,97837100.0,R,en
tt0183659,6000000.0,10994500.0,R,en
tt0183790,65000000.0,117487000.0,PG-13,en
tt0183808,3500000.0,0.0,,en
tt0183869,10500000.0,64400000.0,,fr
tt0184384,0.0,0.0,,en
tt0184457,0.0,0.0,,en
tt0184719,0.0,0.0,,en
tt0184791,0.0,16017400.0,R,en
tt0184858,42000000.0,32169000.0,R,en
tt0184894,55000000.0,56932300.0,PG-13,en
tt0184907,13000000.0,62464700.0,PG,en
tt0185007,0.0,537.0,,en
tt0185014,35000000.0,0.0,R,en
tt0185183,73000000.0,29000000.0,PG-13,en
tt0185431,85000000.0,58292300.0,PG-13,en
tt0186029,0.0,0.0,,en
tt0186045,6000000.0,15427200.0,PG-13,en
tt0186151,31000000.0,68106200.0,PG-13,en
tt0186183,700000.0,0.0,,en
tt0186202,0.0,0.0,PG-13,en
tt0186454,0.0,0.0,,en
tt0186549,0.0,0.0,R,en
tt0186566,65000000.0,128884000.0,PG-13,en
tt0186589,11000000.0,13277000.0,PG-13,en
tt0186719,0.0,0.0,,en
tt0186894,35000000.0,36779300.0,PG-13,en
tt0186975,9000000.0,0.0,PG-13,en
tt0187078,90000000.0,237202000.0,PG-13,en
tt0187387,0.0,0.0,PG-13,en
tt0187393,110000000.0,215294000.0,R,en
tt0187512,0.0,0.0,,en
tt0187559,3000000.0,0.0,R,en
tt0187696,0.0,0.0,R,de
tt0187738,54000000.0,155010000.0,R,en
tt0187750,0.0,0.0,R,en
tt0187761,0.0,0.0,,en
tt0187847,0.0,0.0,,en
tt0188028,0.0,0.0,,en
tt0188045,10000000.0,0.0,,en
tt0188055,0.0,0.0,,en
tt0188128,0.0,46352.0,NR,en
tt0188160,10000000.0,0.0,,en
tt0188424,0.0,0.0,,en
tt0188453,13000000.0,0.0,R,en
tt0188490,0.0,0.0,,en
tt0188518,0.0,0.0,,en
tt0188575,0.0,0.0,,en
tt0188688,0.0,0.0,,en
tt0189192,35000000.0,16176700.0,PG,en
tt0189456,0.0,0.0,,en
tt0189541,0.0,0.0,,en
tt0189998,8000000.0,8279020.0,R,en
tt0190052,0.0,0.0,,en
tt0190138,41300000.0,106372000.0,R,en
tt0190332,17000000.0,213526000.0,,zh
tt0190374,35000000.0,15185200.0,PG-13,en
tt0190398,0.0,0.0,PG,es
tt0190449,0.0,0.0,,de
tt0190524,0.0,0.0,PG-13,en
tt0190590,26000000.0,71868300.0,PG-13,en
tt0190736,0.0,0.0,,en
tt0190861,0.0,0.0,,en
tt0190865,75000000.0,215664000.0,PG-13,en
tt0190938,0.0,0.0,,en
tt0190994,0.0,0.0,,en
tt0191037,0.0,14693.0,R,en
tt0191074,0.0,0.0,R,en
tt0191133,15000000.0,30238600.0,PG-13,en
tt0191177,0.0,0.0,,en
tt0191211,0.0,0.0,,en
tt0191242,3500000.0,0.0,,en
tt0191397,50000000.0,50054500.0,PG-13,en
tt0191476,0.0,0.0,,ro
tt0191636,0.0,0.0,,fr
tt0191754,43000000.0,6219890.0,PG-13,en
tt0191787,0.0,0.0,,en
tt0191996,0.0,0.0,R,en
tt0192023,0.0,0.0,R,en
tt0192071,22000000.0,0.0,PG-13,en
tt0192111,14000000.0,13127000.0,PG-13,en
tt0192126,0.0,0.0,,en
tt0192237,0.0,0.0,,de
tt0192255,35000000.0,27965900.0,G,en
tt0192295,0.0,2061920.0,,de
tt0192346,0.0,0.0,,sr
tt0192455,0.0,0.0,R,en
tt0192528,5000000.0,0.0,,en
tt0192614,15000000.0,35007200.0,PG-13,en
tt0192719,0.0,0.0,,en
tt0192731,14000000.0,38574400.0,R,en
tt0192788,0.0,0.0,PG,en
tt0192912,0.0,0.0,,en
tt0192947,0.0,0.0,,en
tt0192949,0.0,0.0,,en
tt0193011,0.0,0.0,,en
tt0193135,0.0,0.0,,en
tt0193318,0.0,0.0,,en
tt0193364,0.0,0.0,R,en
tt0193545,0.0,0.0,,en
tt0193560,0.0,0.0,,en
tt0193854,0.0,0.0,R,en
tt0193859,0.0,0.0,R,en
tt0194104,0.0,0.0,,nl
tt0194143,0.0,0.0,NR,en
tt0194218,1000000.0,779137.0,R,en
tt0194368,20000000.0,0.0,R,en
tt0194410,0.0,0.0,,en
tt0194519,0.0,0.0,,en
tt0195234,10000000.0,26330500.0,R,en
tt0195308,1250000.0,0.0,PG,en
tt0195393,0.0,0.0,,en
tt0195631,0.0,0.0,,en
tt0195685,52000000.0,256271000.0,,en
tt0195714,23000000.0,112880000.0,,en
tt0195778,15000000.0,10873100.0,PG-13,en
tt0195857,500000.0,0.0,,en
tt0195860,0.0,0.0,,sv
tt0195944,0.0,0.0,,en
tt0195945,11000000.0,59827300.0,R,en
tt0196068,0.0,0.0,,en
tt0196069,3000000.0,0.0,,bo
tt0196106,4.0,1.0,PG,en
tt0196158,7000000.0,0.0,R,en
tt0196216,0.0,0.0,PG,en
tt0196219,0.0,0.0,R,en
tt0196223,0.0,0.0,NR,en
tt0196229,28000000.0,60781000.0,PG-13,en
tt0196708,0.0,0.0,R,en
tt0196723,20000000.0,0.0,,en
tt0197072,0.0,0.0,,en
tt0197096,0.0,0.0,PG-13,en
tt0197299,0.0,0.0,,en
tt0197384,0.0,26394.0,,en
tt0197633,0.0,0.0,NR,en
tt0197644,0.0,0.0,R,en
tt0197646,0.0,0.0,,en
tt0197750,4000000.0,0.0,R,en
tt0197753,0.0,0.0,R,en
tt0197862,0.0,0.0,,en
tt0197929,0.0,0.0,,en
tt0197951,0.0,0.0,,en
tt0197996,0.0,0.0,R,en
tt0198013,0.0,0.0,,en
tt0198021,15000000.0,33771200.0,PG-13,en
tt0198284,0.0,0.0,R,en
tt0198386,0.0,0.0,PG-13,en
tt0198781,115000000.0,579708000.0,G,en
tt0198893,0.0,0.0,R,en
tt0198903,0.0,0.0,,en
tt0199007,0.0,0.0,,en
tt0199129,0.0,0.0,R,en
tt0199290,6000000.0,9000000.0,R,en
tt0199314,0.0,802951.0,R,en
tt0199372,0.0,0.0,,en
tt0199481,15000000.0,0.0,,fr
tt0199504,0.0,0.0,,en
tt0199602,0.0,0.0,,en
tt0199626,12000000.0,23726800.0,R,en
tt0199650,2000000.0,0.0,R,en
tt0199725,20000000.0,27728100.0,PG-13,en
tt0199727,0.0,0.0,,en
tt0199744,0.0,0.0,,es
tt0199753,80000000.0,33464000.0,PG-13,en
tt0199898,0.0,0.0,,cn
tt0199974,0.0,0.0,R,en
tt0200027,48000000.0,35743300.0,PG-13,en
tt0200171,0.0,0.0,,en
tt0200192,0.0,0.0,,it
tt0200422,0.0,0.0,,en
tt0200427,0.0,0.0,R,en
tt0200465,20000000.0,64828400.0,R,en
tt0200472,0.0,0.0,,en
tt0200483,0.0,0.0,,en
tt0200530,0.0,0.0,R,en
tt0200550,45000000.0,113916000.0,PG-13,en
tt0200669,15000000.0,5753680.0,R,en
tt0200720,10000000.0,5164400.0,,en
tt0200954,0.0,0.0,,en
tt0201020,0.0,0.0,PG-13,en
tt0201394,6000000.0,0.0,R,en
tt0201479,0.0,0.0,,en
tt0201485,0.0,0.0,PG-13,en
tt0201670,0.0,0.0,,en
tt0201694,0.0,0.0,,en
tt0201726,0.0,0.0,R,en
tt0201737,0.0,0.0,,en
tt0201844,0.0,0.0,,en
tt0201899,0.0,0.0,PG-13,en
tt0201901,0.0,0.0,,en
tt0201934,500.0,0.0,,en
tt0202236,0.0,0.0,,en
tt0202294,0.0,0.0,,en
tt0202314,0.0,0.0,,en
tt0202360,0.0,0.0,,en
tt0202402,15000000.0,9902120.0,PG-13,en
tt0202452,0.0,0.0,,en
tt0202458,0.0,0.0,R,en
tt0202470,57000000.0,16991900.0,R,en
tt0202560,0.0,0.0,,en
tt0202623,0.0,0.0,,en
tt0202641,0.0,0.0,,en
tt0202677,8500000.0,19125400.0,R,en
tt0202695,0.0,0.0,,en
tt0202711,0.0,0.0,,en
tt0202856,0.0,0.0,,en
tt0202989,0.0,0.0,R,en
tt0203009,52500000.0,179213000.0,PG-13,en
tt0203019,82343500.0,48814900.0,R,en
tt0203047,0.0,0.0,,en
tt0203053,0.0,0.0,,en
tt0203078,0.0,0.0,,en
tt0203119,5000000.0,0.0,R,en
tt0203166,0.0,0.0,R,sv
tt0203230,0.0,0.0,R,en
tt0203289,250000.0,0.0,,en
tt0203297,0.0,0.0,,en
tt0203536,0.0,0.0,R,it
tt0203540,0.0,1443070.0,R,en
tt0203580,0.0,0.0,,en
tt0203584,0.0,0.0,,it
tt0203632,0.0,0.0,,de
tt0203755,0.0,0.0,R,en
tt0203830,0.0,0.0,R,en
tt0203835,0.0,0.0,,en
tt0203940,0.0,0.0,,en
tt0203952,0.0,0.0,,en
tt0203975,3300000.0,0.0,R,en
tt0204137,3600000.0,43805.0,,en
tt0204175,16000000.0,20627400.0,PG-13,en
tt0204250,0.0,0.0,,en
tt0204313,80000000.0,78000600.0,R,en
tt0204322,350000.0,0.0,,en
tt0204350,1200000.0,1404.0,R,en
tt0204352,0.0,0.0,,en
tt0204382,0.0,0.0,,en
tt0204619,0.0,0.0,,en
tt0204626,33000000.0,0.0,R,en
tt0204640,0.0,1079730.0,,en
tt0204698,0.0,0.0,,en
tt0204700,0.0,9200.0,NR,fr
tt0204885,0.0,0.0,,en
tt0204932,0.0,0.0,,sv
tt0204933,0.0,0.0,,en
tt0204946,28000000.0,90449900.0,PG-13,en
tt0205177,0.0,0.0,,en
tt0205271,23000000.0,22844300.0,R,en
tt0205380,0.0,0.0,,hi
tt0205418,0.0,0.0,R,en
tt0205461,19000000.0,19748000.0,G,en
tt0205498,0.0,0.0,,en
tt0205526,0.0,0.0,,en
tt0205729,0.0,0.0,,en
tt0205778,0.0,0.0,,en
tt0205873,0.0,0.0,PG-13,en
tt0205936,500000.0,0.0,,en
tt0206075,0.0,0.0,,en
tt0206088,0.0,0.0,,de
tt0206098,0.0,0.0,,en
tt0206113,0.0,0.0,,en
tt0206184,0.0,0.0,,en
tt0206187,0.0,0.0,R,en
tt0206223,0.0,0.0,,en
tt0206226,1500000.0,268117.0,NR,en
tt0206275,13000000.0,131707000.0,PG-13,en
tt0206314,23000000.0,36642800.0,R,en
tt0206367,0.0,100202.0,G,en
tt0206420,8000000.0,0.0,R,en
tt0206545,0.0,0.0,,en
tt0206608,0.0,0.0,,de
tt0206634,76000000.0,70595500.0,R,en
tt0206694,0.0,0.0,,es
tt0206742,0.0,0.0,,en
tt0206762,0.0,0.0,,en
tt0206917,20170000.0,1800000.0,,en
tt0206926,0.0,0.0,R,en
tt0206963,5250000.0,595005.0,R,en
tt0207036,0.0,0.0,R,en
tt0207161,0.0,0.0,PG,en
tt0207163,0.0,0.0,,pt
tt0207198,0.0,0.0,,de
tt0207201,70000000.0,374112000.0,PG-13,en
tt0207333,0.0,0.0,,en
tt0207377,0.0,0.0,,en
tt0207501,0.0,0.0,,de
tt0207524,7300000.0,0.0,R,en
tt0207585,0.0,0.0,PG,en
tt0207631,0.0,0.0,,en
tt0207635,0.0,0.0,,en
tt0207638,0.0,0.0,,en
tt0207745,0.0,0.0,,nl
tt0207988,0.0,0.0,,en
tt0208003,30000000.0,173959000.0,PG-13,en
tt0208017,0.0,0.0,,en
tt0208037,0.0,0.0,R,en
tt0208050,0.0,0.0,,en
tt0208092,10000000.0,83557900.0,R,en
tt0208196,0.0,688510.0,R,en
tt0208204,0.0,0.0,,fr
tt0208298,0.0,0.0,G,en
tt0208491,0.0,177098.0,,en
tt0208874,20000000.0,22429000.0,R,en
tt0208883,0.0,0.0,,en
tt0208889,0.0,0.0,,es
tt0208899,0.0,0.0,PG-13,en
tt0208911,0.0,0.0,R,en
tt0208942,0.0,0.0,,en
tt0208988,63600000.0,19413000.0,R,en
tt0208990,0.0,0.0,R,it
tt0208993,0.0,0.0,,en
tt0209020,0.0,0.0,,de
tt0209037,0.0,0.0,R,nl
tt0209077,1300000.0,447741.0,R,en
tt0209109,0.0,0.0,,en
tt0209144,9000000.0,39723100.0,R,en
tt0209163,98000000.0,443281000.0,PG-13,en
tt0209180,0.0,0.0,,sr
tt0209253,0.0,0.0,,en
tt0209279,0.0,0.0,,en
tt0209322,0.0,0.0,R,en
tt0209475,35000000.0,94728500.0,PG-13,en
tt0209486,0.0,0.0,,en
tt0209941,0.0,0.0,,es
tt0209958,33000000.0,104156000.0,R,en
tt0210065,0.0,0.0,,en
tt0210070,5000000.0,0.0,R,en
tt0210075,0.0,0.0,,en
tt0210094,15000000.0,0.0,R,en
tt0210130,0.0,10.0,,en
tt0210149,0.0,0.0,,en
tt0210223,1600000.0,0.0,,en
tt0210299,0.0,0.0,PG-13,en
tt0210357,0.0,0.0,PG,en
tt0210358,0.0,1433670.0,PG-13,en
tt0210362,0.0,0.0,,en
tt0210382,16000000.0,109130.0,R,en
tt0210470,0.0,0.0,,en
tt0210567,0.0,0.0,PG-13,en
