collection_id,collection_name
911,Mann Filmreihe
912,Manos Collection
913,Manual of Love Collection
914,Mapado Collection
915,March Comes in Like a Lion Collection
916,March of the Penguins Collection
917,Mardaani Collection
918,Mardock Scramble Collection
919,Marfa Girl Collection
920,"Maria, ihm schmeckts nicht! Filmreihe"
921,Mariachi Collection
922,Marley & Me Collection
923,Marrying the Mafia Collection
924,Mary Poppins Collection
925,Maskeli Beşler [Seri]
926,Masquerade Hotel Collection
927,Masti Collection
928,Mata Batin Collection
929,Max Collection
930,Max Havoc Collection
931,Max Pinlig Collection
932,May the Devil Take You
933,Maya the Bee Collection
934,McDull Collection
935,Mean Girls Collection
936,Meat pie collection
937,Meatball Machine Collection
938,Mechanic Collection
939,Meet the Blacks Collection
940,Meet the In-Laws
941,Meet the Parents Collection
942,Mega Shark Collection
943,Megalodon Collection
944,Mektoub is Mektoub
945,Memoirs of a Lady Ninja Series
946,Men & Women Dilogy
947,Men In Black Collection
948,Men Suddenly in Black Collections
949,Men in the City Collection
950,Methagu Collection
951,Mexico Barbaro Filmreihe
952,Mi Nismo Anđeli Collection
953,Midnight Diner Collection
954,Mince Alors ! - Saga
955,Minions Collection
956,Minuscule Collection
957,Mirror Mirror Collection
958,Mirrors Collection
959,Mischievous Kiss The Movie
960,Miss Congeniality Collection
961,Miss Modern Collection
962,Missing 411 Collection
963,Mission: Impossible Collection
964,Mister Twister Collection
965,Mobile Suit Gundam Thunderbolt Collection
966,Mobile Suit Gundam: The Origin Collection
967,Mobile Suit Zeta Gundam A New Translation
968,Mojin Collection
969,Molly Hartley Collection
970,Monica and Friends
971,Monster Family Collection
972,Monster High Collection
973,Monster Hunt Collection
974,Monsters Collection
975,"Monsters, Inc. Collection"
976,Moontrap Collection
977,"Morava, krásná zem (kolekce)"
978,Mortadelo y Filemón - Colección
979,Mortal Kombat Collection
980,Mortal Kombat Legends Collection
981,Moschettieri del Re - Collezione
982,Mountain Collection
983,Mr. Bean Collection
984,Mr. Bones Collection
985,Mr. Ripley Collection
986,Mucize [Seri]
987,Mummys Kiss Collection
988,Munafik Trilogy
989,Muni Collection
990,Munna Bhai Collection
991,Murder Collection
992,Murder Mystery Collection
993,Mushishi Collection
994,My Alien Girlfriend Collection
995,My Big Fat Greek Wedding Collection
996,"My Boss, My Collection"
997,My Brother Series
998,My Friends Sister Series
999,My Hero Academia Movie Collection
1000,My Little Pony: Equestria Girls Collection
1001,My Mom is a Character Collection
1002,My Sassy Girl Collection
1003,My Sisters Kids (Remake) Collection
1004,My Stupid Boss
1005,My Thoughts Are Silent Collection
1006,My Wife Is Collection
1007,My Wife is a Gangster Collection
1008,Mystery Road Collection
1009,Mythica Collection
1010,N.T.R Collection
1011,NASU Collection
1012,NKCTHI Collection
1013,Naked Ambition
1014,Naked Collection
1015,Naked Fear Collection
1016,Naked Poison Collection
1017,Namastey London Collection
1018,Nana Collection
1019,Nanny McPhee Collection
1020,Naruto Collection
1021,National Lampoons Van Wilder Collection
1022,National Treasure Collection
1023,Nativity Collection
1024,Necromancer
1025,Neighbors Collection
1026,Nemesis Collection
1027,Neuilly sa mère ! - Saga
1028,Never Back Down Collection
1029,Never Died Collection
1030,New Gods Collection
1031,New Initial D Collection
1032,New Kids Collection
1033,New Money Collection
1034,New Queer Visions Collection
1035,New World Order Collection
1036,Nice Sister-In-Law Series
1037,Night at the Museum Collection
1038,Night of the Demons Collection
1039,Night of the Living Dead 3D - Collection
1040,Nightmare Collections
1041,Niko Collection
1042,Nims Island Collection
1043,Ninja Collection
1044,Ninja Kids!!! Collection
1045,Ninja Vixens Series
1046,Nitro Collection
1047,No manches Frida Collection
1048,Nobody Sleeps in the Woods Tonight Collection
1049,Nodame Cantabile: The Movie Collection
1050,Non ci resta che il crimine - Collezione
1051,Noras Hair Salon Collection
1052,Norm of the North Collection
1053,Now You See Me Collection
1054,Nymphomaniac Collection
1055,O Grilo Feliz
1056,O Şimdi [Seri]
1057,OSS 117 The Reboot Saga
1058,Occupation Collection
1059,Oceans Collection
