imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count
tt0159369,0.0,0.0,,en,2013-09-27,1.437,0.0,0
tt0159371,0.0,0.0,,en,2000-03-25,0.6,3.5,2
tt0159378,0.0,0.0,,en,2001-06-13,0.6,0.0,0
tt0159396,0.0,0.0,,en,2000-04-01,2.353,0.0,0
tt0159784,0.0,0.0,R,en,2000-03-15,8.027,6.2,128
tt0160009,40000000.0,30199100.0,R,en,2000-08-25,8.175,5.7,392
tt0160127,92000000.0,264106000.0,PG-13,en,2000-11-02,18.377,5.8,3490
tt0160182,0.0,0.0,,en,2000-10-31,2.415,5.9,4
tt0160184,55000000.0,6632380.0,R,en,2002-01-04,9.358,5.6,509
tt0160239,0.0,0.0,,en,2002-02-22,1.217,4.0,1
tt0160240,0.0,0.0,,en,2002-09-21,0.6,0.0,0
tt0160256,0.0,0.0,,fr,2000-06-01,1.368,5.8,4
tt0160261,0.0,0.0,,en,2005-01-01,0.6,0.0,0
tt0160275,0.0,0.0,,en,2001-08-01,0.6,9.5,1
tt0160289,0.0,0.0,,en,2000-01-01,1.606,4.4,6
tt0160399,40000000.0,8694320.0,R,en,2001-12-03,13.843,6.1,325
tt0160403,0.0,0.0,R,en,2000-11-10,2.789,5.3,7
tt0160434,0.0,0.0,R,en,2000-09-02,0.919,4.0,2
tt0160447,0.0,0.0,,en,1999-01-01,1.4,5.0,2
tt0160484,50000000.0,31355900.0,R,en,2000-10-13,7.846,5.1,133
tt0160495,12000000.0,0.0,R,en,2000-08-04,2.767,5.8,12
tt0160547,0.0,0.0,,en,2000-07-14,1.551,4.0,3
tt0160611,0.0,0.0,,en,2000-01-07,6.173,6.1,182
tt0160616,800000.0,0.0,,en,2000-01-22,2.637,3.5,8
tt0160644,0.0,0.0,,en,2000-01-07,4.042,5.9,32
tt0160652,0.0,0.0,R,en,2000-07-24,2.145,1.0,1
tt0160663,0.0,0.0,,en,2000-04-07,2.097,5.3,3
tt0160706,0.0,0.0,,en,2005-01-01,1.473,4.2,6
tt0160710,0.0,0.0,PG-13,en,2000-01-24,1.391,4.7,6
tt0160749,0.0,0.0,PG,en,2000-03-17,3.21,5.8,20
tt0160759,0.0,0.0,,pt,2000-02-19,0.731,6.3,4
tt0160797,60000000.0,71000000.0,R,en,2000-04-07,9.776,6.2,542
tt0160859,0.0,0.0,,en,2000-10-16,0.6,0.0,0
tt0160870,0.0,0.0,,en,2003-12-24,0.6,0.0,0
tt0160905,0.0,0.0,,en,2002-04-19,3.423,6.0,16
tt0161003,0.0,0.0,,en,2005-02-17,1.128,0.0,0
tt0161081,100000000.0,291420000.0,PG-13,en,2000-07-21,15.911,6.4,1441
tt0161083,60000000.0,38400000.0,PG-13,en,2001-05-31,7.522,5.4,235
tt0161088,0.0,0.0,,en,2002-03-10,2.321,0.0,0
tt0161216,0.0,0.0,,en,2000-08-18,2.86,5.8,23
tt0161860,0.0,0.0,R,de,2001-12-11,7.819,7.0,122
tt0162030,0.0,0.0,R,en,2001-11-12,1.476,4.6,5
tt0162203,0.0,0.0,,en,2000-12-31,0.6,2.0,1
tt0162222,90000000.0,429632000.0,PG-13,en,2000-12-22,25.231,7.7,9435
tt0162346,7000000.0,0.0,R,en,2001-07-20,6.694,7.1,1098
tt0162650,46000000.0,107626000.0,R,en,2000-06-15,11.083,6.0,1006
tt0162711,0.0,0.0,R,en,2000-06-28,3.974,5.2,16
tt0162838,3500000.0,0.0,R,en,2002-05-12,1.435,5.4,5
tt0162983,60000000.0,51880000.0,PG-13,en,2000-02-16,7.672,5.2,139
tt0163025,93000000.0,368781000.0,,en,2001-07-18,2.743,6.1,5791
tt0163080,0.0,0.0,,en,2000-12-14,1.818,5.6,9
tt0163125,0.0,0.0,,en,2000-03-04,0.711,3.8,4
tt0163246,0.0,0.0,,en,2001-01-01,0.6,0.0,0
tt0163596,0.0,0.0,,en,2001-08-17,1.361,6.8,4
tt0163676,15000000.0,5217500.0,PG-13,en,2000-07-19,3.564,4.5,41
tt0163745,1000000.0,0.0,R,en,2000-05-18,1.193,5.8,5
tt0163764,0.0,0.0,,en,2000-01-01,0.978,3.8,2
tt0163978,40000000.0,144057000.0,R,en,2000-02-03,10.651,6.5,3635
tt0163983,40000000.0,0.0,R,en,2000-08-11,8.925,5.2,228
tt0164003,0.0,0.0,R,en,2002-01-01,5.761,5.9,54
tt0164052,95000000.0,190213000.0,R,en,2000-08-04,20.668,5.9,2017
tt0164182,0.0,0.0,,en,,0.6,0.0,0
tt0164184,68000000.0,193921000.0,PG-13,en,2002-05-31,13.574,6.3,1346
tt0164192,0.0,0.0,,en,2000-02-25,4.966,5.5,14
tt0164212,25000000.0,260562.0,R,en,2000-09-24,10.584,6.1,358
tt0164318,0.0,0.0,,en,2000-02-01,1.454,4.0,5
tt0164334,60000000.0,105179000.0,R,en,2001-04-06,13.436,6.3,1438
tt0164545,0.0,0.0,,it,2000-12-07,0.651,5.5,2
tt0164810,0.0,0.0,R,en,2002-10-04,2.42,5.8,5
tt0164953,0.0,0.0,,en,2000-01-01,0.705,0.0,0
tt0164961,0.0,0.0,R,fr,2001-09-18,9.793,5.9,417
tt0165361,14000000.0,0.0,R,en,2002-03-26,5.925,5.7,106
tt0165400,0.0,0.0,,en,2000-01-01,2.7,3.0,4
tt0165452,0.0,0.0,R,en,1999-08-25,0.6,0.0,0
tt0165642,0.0,0.0,,en,1998-01-01,1.4,4.3,3
tt0165713,0.0,0.0,,en,2000-01-01,0.6,0.0,0
tt0165800,0.0,0.0,,en,2000-03-07,2.603,2.3,6
tt0165832,7000000.0,0.0,R,en,2002-04-13,8.636,7.3,492
tt0165928,0.0,0.0,R,en,1999-09-03,1.4,1.0,1
tt0165929,25000000.0,91036800.0,R,en,2000-03-22,12.106,6.2,921
tt0165982,60000000.0,80767900.0,PG,en,2003-07-02,33.052,6.9,1645
tt0166013,0.0,0.0,,en,2000-06-26,0.844,4.8,6
tt0166110,10000000.0,7316660.0,R,en,2001-10-24,7.774,4.7,116
tt0166158,4000000.0,6718.0,R,en,2001-10-26,4.228,5.9,30
tt0166186,100.0,0.0,,en,2001-06-12,0.6,0.0,0
tt0166192,0.0,0.0,,en,2000-01-04,0.6,0.0,0
tt0166276,75000000.0,5409520.0,PG-13,en,2001-02-23,9.082,5.2,255
tt0166370,100000.0,0.0,,en,2001-04-13,4.459,5.0,46
tt0166813,80000000.0,122564000.0,G,en,2002-05-24,85.789,7.7,3828
tt0166924,15000000.0,20271100.0,R,en,2001-06-06,18.379,7.8,4886
tt0167116,0.0,0.0,,en,2002-03-10,3.674,5.6,35
tt0167183,0.0,0.0,,en,2000-03-02,0.6,0.0,0
tt0167190,66000000.0,99319000.0,PG-13,en,2004-04-02,30.069,6.7,5805
tt0167203,34000000.0,14400300.0,PG-13,en,2000-05-05,5.838,5.6,59
tt0167260,94000000.0,1118890000.0,PG-13,en,2003-12-01,85.531,8.5,19534
tt0167261,79000000.0,926287000.0,PG-13,en,2002-12-18,86.65,8.4,18129
tt0167360,0.0,0.0,PG,en,2001-10-31,2.32,5.9,18
tt0167367,0.0,0.0,R,en,1999-04-03,1.171,3.5,2
tt0167456,57000000.0,28283600.0,PG,en,2004-07-23,11.859,5.0,241
tt0168446,0.0,0.0,,en,2000-07-05,3.986,6.6,22
tt0168504,0.0,0.0,R,en,2000-01-01,3.878,5.8,20
tt0168509,0.0,0.0,,fr,2000-12-20,1.4,0.0,0
tt0168515,0.0,0.0,,en,2000-08-25,2.193,6.8,5
tt0168612,10000.0,10000.0,R,en,2000-01-01,0.665,0.0,0
tt0168629,12800000.0,40031900.0,R,en,2000-06-30,10.254,7.9,1399
tt0168631,0.0,0.0,,en,2000-01-10,1.533,4.3,10
tt0168714,0.0,0.0,,en,2000-05-01,0.6,1.5,2
tt0168786,12500000.0,23367600.0,,en,2002-12-19,8.674,6.8,362
tt0168856,0.0,5595330.0,,da,2000-10-06,9.651,6.7,307
tt0169102,5200000.0,8100000.0,PG,hi,2001-06-15,7.069,7.3,424
tt0169122,0.0,0.0,,en,2000-06-03,4.824,5.3,6
tt0169324,0.0,0.0,R,en,2000-09-18,2.329,4.0,4
tt0169543,0.0,0.0,,it,2000-01-01,2.574,5.9,51
tt0169579,0.0,0.0,,nl,2003-03-01,0.6,0.0,0
tt0170008,0.0,0.0,NR,en,2000-12-31,2.426,6.0,2
tt0170016,123000000.0,345141000.0,PG,en,2000-11-17,61.227,6.7,5932
tt0170260,0.0,0.0,,en,1999-02-01,1.317,5.8,5
tt0170367,0.0,0.0,,en,2001-01-01,1.4,0.0,0
tt0170452,0.0,0.0,,en,2000-09-22,1.652,4.5,12
tt0170508,0.0,0.0,,it,2004-09-11,0.601,6.3,13
tt0170691,10000000.0,148701.0,R,en,2000-10-06,7.711,6.6,440
tt0171339,0.0,0.0,,en,1998-10-01,0.6,3.0,1
tt0171356,10000000.0,1631840.0,R,en,2000-02-04,7.337,5.3,102
tt0171359,2000000.0,1568750.0,R,en,2000-05-12,6.644,5.8,111
tt0171433,30000000.0,59945200.0,PG-13,en,2000-04-14,7.017,6.1,492
tt0171580,24000000.0,0.0,R,en,2000-08-30,7.875,5.9,315
tt0172156,130000000.0,273340000.0,R,en,2003-07-18,33.749,6.6,4445
tt0172464,0.0,0.0,,en,2000-01-18,1.258,3.0,1
tt0172495,103000000.0,465361000.0,R,en,2000-05-01,40.407,8.2,15117
tt0172543,0.0,0.0,,en,2001-08-30,5.729,7.1,93
tt0172632,0.0,0.0,,en,2000-01-21,3.81,6.2,12
tt0172699,0.0,0.0,,en,2000-11-07,1.002,2.0,1
tt0172794,0.0,0.0,R,en,2000-01-01,1.311,4.0,3
tt0172949,100000.0,0.0,R,en,2000-10-17,0.6,0.0,0
tt0172995,0.0,0.0,,en,2001-01-01,2.345,5.1,7
tt0173498,0.0,0.0,R,en,2001-06-01,0.917,2.0,1
tt0173568,0.0,0.0,,en,2000-10-01,0.6,0.0,0
tt0173716,10000000.0,0.0,R,en,2000-05-17,7.696,6.4,194
tt0173840,137000000.0,85131800.0,PG-13,en,2001-07-02,14.027,6.2,1191
tt0174336,3000000.0,0.0,R,en,2000-09-01,4.298,3.8,35
tt0174480,65000000.0,0.0,PG-13,en,2000-08-11,9.967,6.1,562
tt0174646,0.0,0.0,,en,2000-02-08,0.805,0.0,0
tt0174732,0.0,0.0,,en,2001-01-01,0.682,6.0,1
tt0175114,0.0,0.0,,en,2000-01-18,0.966,0.0,0
tt0175142,19000000.0,278020000.0,R,en,2000-07-07,106.06,6.3,5505
tt0175526,0.0,0.0,R,en,2000-08-25,7.561,5.2,213
tt0176185,0.0,0.0,NC-17,en,2002-07-07,2.645,4.8,4
tt0176244,0.0,0.0,,en,2000-06-27,0.905,0.0,0
tt0176579,0.0,0.0,,en,2000-10-01,1.801,2.2,3
tt0176650,0.0,0.0,R,en,2000-10-05,2.016,5.0,11
tt0176694,0.0,0.0,,en,2011-11-27,2.237,7.5,13
tt0176783,14000000.0,5108820.0,R,en,2000-04-21,7.329,5.7,180
tt0176883,0.0,0.0,PG,en,2001-12-07,0.765,5.9,5
tt0177068,0.0,0.0,R,en,2000-10-27,1.816,5.7,5
tt0177185,0.0,0.0,,en,2000-04-25,1.878,4.6,8
tt0177195,30000.0,0.0,,en,2000-05-11,1.673,3.4,5
tt0177213,0.0,0.0,,en,2000-01-01,0.897,6.0,4
tt0177513,0.0,0.0,,en,2000-09-21,0.6,0.0,0
tt0177636,0.0,0.0,,de,2008-11-07,1.301,4.4,5
tt0177650,16000000.0,146193.0,PG-13,en,2000-03-09,4.577,4.7,24
tt0177845,0.0,0.0,,en,2000-09-21,2.912,5.6,17
tt0177858,0.0,0.0,,de,2000-08-23,7.189,7.3,169
tt0177882,0.0,0.0,,de,2004-04-21,3.275,6.5,50
tt0177885,3000000.0,0.0,,en,2001-06-17,0.908,2.5,4
tt0177888,0.0,27.0,R,en,2000-10-12,2.343,3.0,2
tt0177971,120000000.0,325757000.0,PG-13,en,2000-06-29,17.534,6.4,1771
tt0177997,0.0,0.0,,en,2001-01-01,1.483,3.0,5
tt0178043,0.0,0.0,R,en,2000-03-16,2.042,5.7,11
tt0178050,0.0,0.0,R,en,2000-08-18,2.363,4.6,11
tt0178642,0.0,0.0,R,en,2001-02-23,3.358,5.0,27
tt0179098,21000000.0,10011000.0,PG-13,en,2002-09-09,6.084,6.3,179
tt0179144,0.0,0.0,,en,,0.804,0.0,0
tt0179183,11000000.0,0.0,R,en,2000-03-02,10.704,5.0,151
