tconst,averageRating,numVotes
tt0221823,7.3,52
tt0221837,6.2,285
tt0221838,6.8,2484
tt0221885,4.9,1157
tt0221889,5.8,3812
tt0221928,5.1,2112
tt0221982,4.4,779
tt0222012,7.9,13234
tt0222020,3.3,630
tt0222023,9.7,10
tt0222024,5.3,7175
tt0222142,7.5,32
tt0222167,4.4,1142
tt0222270,6.1,7892
tt0222293,6.7,2061
tt0222375,5.6,274
tt0222666,3.5,652
tt0222705,5.1,128
tt0222710,7.7,21
tt0222717,4.4,151
tt0222790,6.3,39
tt0222812,5.8,12383
tt0222849,8.2,27
tt0222850,6.9,7815
tt0222851,7.1,23502
tt0222989,7.5,16
tt0223268,4.4,4290
tt0223284,3.5,214
tt0223593,6.0,145
tt0223744,4.3,205
tt0223828,5.3,93
tt0223856,5.4,249
tt0223889,5.5,95
tt0223897,7.2,120441
tt0223911,5.0,87
tt0223954,6.0,2266
tt0224025,4.1,1046
tt0224050,6.2,276
tt0224084,5.6,113
tt0224086,3.6,219
tt0224394,5.4,111
tt0224451,7.3,89
tt0224578,7.2,3815
tt0224626,4.1,918
tt0224755,6.3,86
tt0225071,5.7,24779
tt0225196,5.7,310
tt0225518,8.2,35
tt0225828,3.9,175
tt0226057,4.2,27
tt0226094,6.0,319
tt0226198,4.7,154
tt0226225,5.5,148
tt0226238,6.0,63
tt0226351,4.3,219
tt0226430,5.7,908
tt0226498,5.9,56
tt0226591,7.5,57
tt0226708,5.7,254
tt0226851,6.6,15
tt0226935,4.8,2175
tt0227005,6.3,18814
tt0227189,3.4,179
tt0227194,5.5,5273
tt0227200,3.3,409
tt0227224,6.0,168
tt0227277,7.0,6639
tt0227445,6.8,129800
tt0227458,6.2,759
tt0227538,5.6,119934
tt0227671,5.3,449
tt0227984,6.3,49876
tt0228004,5.4,222
tt0228054,5.6,189
tt0228121,3.1,159
tt0228180,3.9,414
tt0228214,7.4,10
tt0228242,6.9,1821
tt0228277,6.2,770
tt0228301,5.3,585
tt0228333,4.9,55679
tt0228488,6.2,1987
tt0228525,7.5,25
tt0228536,5.9,527
