tconst,primaryTitle,startYear,runtimeMinutes,imdb_id,id,budget,revenue,certification,original_title,poster_path,tagline,original_language,release_date,popularity,vote_average,vote_count,Genre_Action,Genre_Adult,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,profit,ROI
tt1568346,The Girl with the Dragon Tattoo,2011.0,158,tt1568346,65754,90000000.0,232617000.0,R,The Girl with the Dragon Tattoo,/vbLedKc1BUF4FOH1GyHW62FulCc.jpg,Evil shall with evil be expelled.,en,2011-12-14,19.456,7.4,5824,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,142617000.0,1.5846333333333333
tt1402488,Happy Feet Two,2011.0,117,tt1402488,65759,130000000.0,150406000.0,PG,Happy Feet Two,/2gWiQ4mn85jcXtREVePlVViupeV.jpg,Every step counts.,en,2011-11-18,51.804,6.1,1266,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20406000.0,0.15696923076923078
tt1687247,Life in a Day,2011.0,95,tt1687247,66150,45202.0,225861.0,PG-13,Life in a Day,/g4Kze731McN2WkcN0OLwi1CMa8u.jpg,The story of one day on Earth.,en,2011-01-27,6.804,7.3,178,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180659.0,3.996703685677625
tt1621045,Think Like a Man,2012.0,123,tt1621045,67660,12000000.0,96070500.0,PG-13,Think Like a Man,/kfIrKVPDzXJDBzPnFEuoatlaZPW.jpg,Let the mind games begin.,en,2012-04-16,12.233,6.9,711,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,84070500.0,7.005875
tt1922612,Glee: The 3D Concert Movie,2011.0,84,tt1922612,67675,9000000.0,18663200.0,PG,Glee: The Concert Movie,/75JzXc1xdoaLwx4HumpcrB43qMd.jpg,The embodiment of popular culture.,en,2011-08-11,12.845,7.4,239,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9663200.0,1.073688888888889
tt1540133,The Guard,2011.0,96,tt1540133,67913,6000000.0,19560300.0,R,The Guard,/dtQiStID0le2EMTmJXupPRybARB.jpg,The FBI are about to discover that things work a little differently around here.,en,2011-07-07,6.581,7.0,906,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13560300.0,2.26005
tt0765446,Escape from Planet Earth,2012.0,89,tt0765446,68179,40000000.0,74597600.0,PG,Escape from Planet Earth,/6ldpSGTzFDKhYGJmFQVRDwU8n7T.jpg,Earth's greatest secrets are about to break out!,en,2012-12-27,16.944,5.7,629,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34597600.0,0.86494
tt1853728,Django Unchained,2012.0,165,tt1853728,68718,100000000.0,425368000.0,R,Django Unchained,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,"Life, liberty and the pursuit of vengeance.",en,2012-12-25,59.579,8.1,22510,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,325368000.0,3.25368
tt1300854,Iron Man 3,2013.0,130,tt1300854,68721,200000000.0,1214810000.0,PG-13,Iron Man 3,/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,Unleash the power behind the armor.,en,2013-04-18,108.639,6.9,19448,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1014810000.0,5.07405
tt1560747,The Master,2012.0,138,tt1560747,68722,32000000.0,28258100.0,R,The Master,/rUSjbyvYWN9H4az8xt0tDtU7I6v.jpg,Every man needs a guide.,en,2012-09-07,10.724,7.2,2399,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3741900.0,-0.116934375
