tconst,averageRating,numVotes
tt0195778,5.1,8678
tt0195857,5.2,151
tt0195860,5.4,54
tt0195944,4.2,145
tt0195945,6.1,41296
tt0196068,5.0,227
tt0196069,7.7,8021
tt0196106,4.1,2593
tt0196158,3.5,7501
tt0196216,6.6,39040
tt0196219,2.2,1240
tt0196223,5.3,1219
tt0196229,6.5,266104
tt0196708,6.2,2608
tt0196723,5.6,1389
tt0197072,3.8,636
tt0197096,6.9,2776
tt0197299,3.7,117
tt0197384,5.8,3432
tt0197633,4.8,678
tt0197644,4.4,162
tt0197646,4.8,283
tt0197750,3.9,2339
tt0197753,5.6,543
tt0197862,7.9,79
tt0197929,6.3,27
tt0197951,4.0,509
tt0197996,5.0,440
tt0198013,8.8,18
tt0198021,6.7,34596
tt0198284,4.5,845
tt0198386,5.6,6386
tt0198460,5.8,285
tt0198748,8.1,78
tt0198781,8.1,905654
tt0198893,4.0,170
tt0198903,5.3,250
tt0199007,4.3,398
tt0199129,6.4,272
tt0199290,4.6,3518
tt0199314,5.9,6615
tt0199481,2.7,5318
tt0199504,5.3,65
tt0199602,6.6,34
tt0199626,5.4,24710
tt0199650,3.9,1033
tt0199725,7.2,22068
tt0199727,6.4,5498
tt0199744,5.0,397
tt0199753,5.7,58218
tt0199898,4.8,283
tt0199974,4.8,1102
tt0200027,6.5,29297
tt0200171,6.1,204
tt0200192,5.4,5852
tt0200422,4.8,810
tt0200427,6.9,1740
tt0200465,7.2,182530
tt0200472,5.6,2340
tt0200483,5.3,57
tt0200525,6.3,26
tt0200530,6.6,5660
tt0200550,5.7,115933
tt0200669,5.9,4490
tt0200720,7.0,7606
tt0200940,3.1,344
tt0200954,3.7,940
tt0201020,6.4,202
tt0201275,7.6,56
tt0201394,5.1,1536
tt0201479,3.9,657
tt0201485,5.3,9096
tt0201670,6.0,413
tt0201694,2.5,1087
tt0201726,4.6,338
tt0201737,4.9,190
tt0201844,2.4,4276
tt0201888,6.9,717
tt0201899,6.8,1587
tt0201901,5.5,319
tt0201934,4.6,74
tt0202236,4.7,926
tt0202294,7.2,69
tt0202314,3.1,1299
tt0202360,5.7,59
tt0202402,5.5,11073
tt0202452,4.1,49
tt0202458,2.0,179
tt0202470,6.3,43728
tt0202487,7.7,24
tt0202560,7.1,23
tt0202623,5.4,4831
tt0202641,7.2,1689
tt0202677,6.6,33844
tt0202695,5.5,77
tt0202711,6.4,921
tt0202829,6.9,14
tt0202856,6.4,190
tt0202989,4.5,694
tt0203009,7.6,285968
tt0203019,7.2,117902
tt0203047,6.3,84
tt0203053,5.5,873
tt0203078,5.5,42
tt0203119,7.3,61990
tt0203144,6.6,17
tt0203166,7.4,22988
tt0203206,8.2,10
tt0203230,7.5,30245
tt0203289,6.6,1635
tt0203297,5.2,547
tt0203536,4.6,608
tt0203540,6.8,6122
tt0203580,3.6,279
tt0203584,6.3,242
tt0203632,7.4,14632
tt0203755,6.2,30698
tt0203830,4.8,300
tt0203835,3.1,876
tt0203912,5.3,94
tt0203940,3.9,3056
tt0203952,4.8,148
tt0203975,4.7,3323
tt0204131,8.0,26
tt0204137,6.6,13930
tt0204175,5.4,16998
tt0204250,2.1,696
tt0204293,7.2,8
tt0204313,5.1,37310
tt0204322,5.1,980
tt0204350,4.9,1351
tt0204352,6.7,94
tt0204382,7.3,32
tt0204619,4.7,77
tt0204626,5.3,27477
tt0204640,6.7,3283
tt0204679,7.4,17
tt0204698,7.4,42
tt0204700,5.9,8398
tt0204885,5.7,92
tt0204932,7.3,3986
tt0204933,4.6,157
tt0204946,6.1,97474
tt0205177,5.6,13703
tt0205271,4.7,19771
tt0205380,4.1,178
tt0205418,2.9,2832
tt0205461,4.1,4404
tt0205498,6.0,220
tt0205526,3.6,176
tt0205729,3.8,54
tt0205778,6.6,81
tt0205873,7.2,16488
tt0205936,5.2,243
tt0206075,3.3,582
tt0206088,6.2,342
tt0206098,6.9,67
tt0206113,6.3,1465
tt0206184,5.0,301
tt0206187,6.8,829
tt0206211,7.6,10
tt0206223,4.2,144
tt0206226,6.1,6201
tt0206275,6.2,62933
tt0206314,6.6,70424
tt0206367,5.0,1189
tt0206420,5.3,10638
tt0206545,7.3,61
tt0206608,6.2,188
tt0206634,7.9,500880
tt0206694,6.7,48
tt0206742,6.4,2108
tt0206762,6.2,1473
tt0206778,6.5,68
tt0206917,6.1,15777
tt0206926,5.6,5948
tt0206963,7.2,5693
tt0207036,5.1,665
tt0207161,5.7,1439
tt0207163,6.3,487
tt0207198,6.8,3686
tt0207201,6.4,209141
tt0207333,5.1,871
tt0207337,4.6,29
tt0207377,4.6,888
tt0207501,4.2,46
tt0207524,6.8,3579
tt0207585,5.9,728
tt0207631,4.4,675
tt0207635,6.5,61
tt0207638,5.7,131
tt0207745,4.6,254
tt0207988,6.0,412
tt0208003,5.2,86324
tt0208017,8.0,44
tt0208037,4.7,412
tt0208050,5.6,394
tt0208092,8.2,853763
tt0208196,7.2,9935
tt0208204,4.7,122
tt0208298,7.1,1616
tt0208412,6.9,33
tt0208491,4.6,762
tt0208874,6.9,24317
tt0208883,6.1,100
tt0208889,7.0,66
tt0208899,5.5,179
tt0208910,8.0,23
tt0208911,6.3,1948
tt0208942,4.4,178
tt0208988,5.1,34921
tt0208990,7.3,20330
tt0208993,7.0,1441
tt0209020,4.4,75
tt0209037,6.9,3272
tt0209077,5.8,29978
tt0209109,4.9,684
tt0209144,8.4,1232921
tt0209163,6.4,326415
tt0209180,8.1,4672
tt0209253,4.2,77
tt0209279,5.4,176
tt0209322,6.3,3461
tt0209475,5.3,81871
tt0209486,4.9,457
tt0209941,6.1,89
tt0209958,6.4,103691
tt0210065,6.7,14076
tt0210070,6.8,48196
tt0210075,6.7,11102
tt0210094,5.4,2779
tt0210130,7.8,68
tt0210149,6.0,709
tt0210223,4.8,222
tt0210299,7.2,3551
tt0210357,6.7,257
tt0210358,6.5,7127
tt0210362,6.0,279
tt0210382,5.8,9661
tt0210470,6.7,67
tt0210567,5.6,4116
tt0210584,6.2,2416
tt0210616,6.6,21810
tt0210694,7.3,37
tt0210756,6.0,427
tt0210776,6.0,40
tt0210777,7.9,215
tt0210816,5.0,188
tt0210930,5.2,241
tt0210945,7.8,216489
tt0210952,5.8,95
tt0210953,5.4,333
tt0211181,4.8,37832
tt0211266,8.4,14
tt0211279,7.5,20
tt0211296,7.0,31
tt0211309,6.5,480
tt0211373,9.0,11
tt0211387,6.7,6599
tt0211423,7.1,21
tt0211443,4.4,57355
tt0211465,6.1,24069
tt0211492,6.8,4513
tt0211636,7.1,43
tt0211645,8.3,51
tt0211661,6.0,1812
tt0211718,7.3,2893
tt0211915,8.3,755355
tt0211933,6.5,76289
tt0211938,5.7,12672
tt0211941,5.5,1562
tt0211946,7.2,14703
tt0212048,4.4,316
tt0212059,4.9,171
tt0212132,7.4,3053
tt0212142,7.6,110
tt0212215,6.1,257
tt0212271,4.2,233
tt0212292,6.8,226
tt0212294,6.0,139
tt0212298,7.0,106
tt0212338,7.0,336115
tt0212346,6.3,211785
tt0212360,6.4,77
tt0212380,6.2,8682
tt0212495,5.0,273
tt0212604,7.3,1941
tt0212667,3.4,181
tt0212712,7.4,58166
tt0212719,6.1,124
tt0212720,7.2,308698
tt0212742,5.3,1763
tt0212815,7.3,4623
tt0212826,7.0,5749
tt0212830,5.2,6108
tt0212867,4.9,1253
tt0212873,7.8,103
tt0212879,6.0,5790
tt0212881,4.0,104
tt0212910,5.8,1291
tt0212974,6.5,4387
tt0212985,6.8,276169
tt0213113,3.7,76
tt0213127,6.2,67
tt0213149,6.2,333665
tt0213203,6.1,12799
tt0213205,6.0,126
tt0213266,7.5,37
tt0213446,5.0,475
tt0213561,6.3,452
tt0213642,3.3,514
tt0213690,3.5,299
tt0213790,5.2,13346
tt0213802,3.2,1905
tt0213847,7.4,103479
tt0213890,7.0,30375
tt0213985,6.9,2605
tt0214032,5.9,59
tt0214106,4.4,144
tt0214140,8.1,36
tt0214277,6.2,277
tt0214388,5.8,23046
tt0214520,5.7,83
tt0214529,4.4,4977
tt0214548,5.9,69
tt0214619,5.6,131
tt0214638,3.5,329
tt0214646,6.0,156
tt0214728,5.9,676
tt0214757,4.4,491
tt0214871,3.6,1597
tt0214878,6.1,1673
tt0215129,6.5,170385
tt0215135,4.4,3533
tt0215139,6.0,482
tt0215223,5.7,45
tt0215232,4.9,243
tt0215458,5.5,122
tt0215516,6.3,1608
tt0215519,5.7,121
tt0215545,6.6,11697
tt0215679,6.2,495
tt0215681,6.6,4194
tt0215719,7.9,48
tt0215727,4.5,133
tt0215750,7.6,263421
tt0215841,6.4,224
tt0215941,3.6,136
tt0216105,7.1,111
tt0216196,4.2,767
tt0216216,5.9,123223
tt0216250,6.2,55
tt0216256,6.3,90
tt0216279,6.0,535
tt0216290,6.9,37
tt0216417,5.7,2165
tt0216522,5.1,236
tt0216578,6.8,1267
tt0216584,5.5,3960
tt0216587,3.2,89
tt0216620,4.4,2357
tt0216625,7.1,14014
tt0216651,7.6,32487
tt0216669,6.3,98
tt0216689,6.6,1266
tt0216731,7.0,496
tt0216746,3.7,1887
tt0216772,4.1,1301
tt0216787,7.2,9899
tt0216799,7.1,6413
tt0216800,7.1,11506
tt0216837,8.4,24
tt0216841,4.1,1045
tt0216890,4.8,491
tt0216930,4.7,1758
tt0216982,6.3,655
tt0216990,6.7,448
tt0217019,6.1,1750
tt0217031,4.9,392
tt0217086,4.6,1419
tt0217107,3.8,701
tt0217119,6.9,1655
tt0217135,6.0,333
tt0217287,3.6,293
tt0217319,5.2,473
tt0217331,5.0,2921
tt0217355,5.7,3986
tt0217505,7.5,442455
tt0217570,4.2,246
tt0217621,4.7,431
tt0217630,5.3,29259
tt0217654,3.4,812
tt0217664,7.5,40
tt0217686,6.6,100
tt0217721,7.2,19
tt0217756,5.3,14552
tt0217758,5.2,626
tt0217780,3.0,136
tt0217787,5.4,202
tt0217788,5.3,180
tt0217802,4.4,225
tt0217824,6.2,1718
tt0217869,7.3,418631
tt0217978,5.7,1509
tt0217979,3.4,688
tt0218000,6.2,654
tt0218032,5.3,195
tt0218053,3.1,231
tt0218067,4.3,2037
tt0218080,3.3,1251
tt0218107,5.7,1144
tt0218112,6.2,1497
tt0218126,3.6,451
tt0218138,4.6,835
tt0218140,8.8,36
tt0218141,5.9,1765
tt0218182,6.2,1700
tt0218183,6.6,15
tt0218298,5.7,610
tt0218323,5.7,345
tt0218378,6.3,6414
tt0218379,6.2,1727
tt0218390,5.9,196
tt0218426,5.4,151
tt0218475,6.6,80
tt0218533,6.7,2455
tt0218561,5.6,84
tt0218581,5.0,2592
tt0218616,6.6,1288
tt0218619,3.9,9136
tt0218625,3.9,1656
tt0218641,3.2,802
tt0218741,5.8,136
tt0218800,5.7,260
tt0218817,6.1,29536
tt0218839,7.4,62822
tt0218864,5.8,7217
tt0218922,6.0,57254
tt0218967,6.8,111200
tt0218978,5.6,102
tt0219171,6.0,2590
tt0219179,7.2,9
tt0219210,5.4,176
tt0219214,3.8,179
tt0219223,4.9,53
tt0219249,7.8,42
tt0219272,5.3,224
tt0219288,7.5,3068
tt0219327,5.7,550
tt0219333,5.7,838
tt0219336,5.5,99
tt0219338,4.9,47
tt0219374,6.7,3980
tt0219400,5.4,6063
tt0219408,5.7,440
tt0219469,5.7,438
tt0219519,6.3,1598
tt0219636,6.2,481
tt0219640,4.1,394
tt0219643,5.4,42
tt0219653,4.9,34434
tt0219687,7.9,58
tt0219699,6.7,70055
tt0219756,5.6,101
tt0219822,6.4,18420
tt0219854,6.1,42564
tt0219952,5.1,10585
tt0219957,4.9,306
tt0219965,6.5,68633
tt0220005,5.8,90
tt0220034,6.4,300
tt0220099,6.3,19200
tt0220100,6.1,6856
tt0220122,6.5,30
tt0220157,6.5,1319
tt0220322,7.3,29
tt0220331,5.3,26
tt0220332,6.3,50
tt0220343,5.4,1411
tt0220371,5.5,37
tt0220399,5.6,90
tt0220506,3.9,45673
tt0220514,3.8,359
tt0220580,6.8,13278
tt0220605,6.9,23
tt0220607,5.7,9
tt0220627,6.8,6559
tt0220631,6.9,1510
tt0220651,6.7,322
tt0220652,5.3,601
tt0220827,6.2,7074
tt0220864,4.1,162
tt0221013,6.6,1058
tt0221023,7.9,1034
tt0221027,7.5,261638
tt0221069,6.2,3517
tt0221073,7.1,39392
tt0221074,6.4,823
tt0221197,4.5,400
tt0221218,5.8,37803
tt0221297,4.4,288
tt0221431,4.8,459
tt0221463,3.9,147
tt0221559,6.9,4401
tt0221563,6.0,1203
tt0221637,5.9,97
tt0221799,6.7,4413
tt0221823,7.4,52
tt0221837,6.2,280
tt0221838,6.8,2468
tt0221885,4.9,1153
tt0221889,5.8,3787
tt0221928,5.1,2108
tt0221982,4.4,769
tt0222012,7.9,13081
tt0222020,3.3,625
tt0222023,9.7,10
tt0222024,5.3,7074
tt0222142,7.5,32
tt0222167,4.4,1140
tt0222270,6.1,7764
tt0222293,6.7,2051
tt0222375,5.6,273
tt0222666,3.5,649
tt0222705,5.1,128
tt0222710,7.7,21
tt0222717,4.4,150
tt0222790,6.3,39
tt0222812,5.8,12291
tt0222849,8.2,27
tt0222850,6.9,7766
tt0222851,7.1,23361
tt0222989,7.5,16
tt0223268,4.4,4244
tt0223284,3.5,213
tt0223593,6.0,145
tt0223744,4.3,201
tt0223828,5.4,92
tt0223856,5.4,248
tt0223889,5.5,94
tt0223897,7.2,119818
tt0223911,5.0,87
tt0223954,6.0,2262
tt0224025,4.1,1044
tt0224050,6.2,267
tt0224084,5.6,110
tt0224086,3.6,218
tt0224394,5.4,111
tt0224451,7.3,89
tt0224578,7.2,3794
tt0224626,4.1,913
tt0224755,6.3,85
tt0225071,5.6,24571
tt0225196,5.7,309
tt0225518,8.2,35
tt0225828,3.9,174
tt0226057,4.2,27
tt0226094,6.0,319
tt0226198,4.7,152
tt0226225,5.5,149
tt0226238,6.0,63
tt0226351,4.3,206
tt0226430,5.7,900
tt0226498,5.9,56
tt0226591,7.5,57
tt0226708,5.6,249
tt0226851,6.6,15
tt0226935,4.8,2167
tt0227005,6.3,18722
tt0227189,3.4,179
tt0227194,5.4,5192
tt0227200,3.3,406
tt0227224,6.0,168
tt0227277,7.0,6581
tt0227445,6.8,128821
tt0227458,6.2,747
tt0227538,5.6,118509
tt0227671,5.3,445
tt0227984,6.3,49653
tt0228004,5.5,222
tt0228054,5.6,188
tt0228121,3.1,159
tt0228180,3.9,406
tt0228214,7.4,10
tt0228242,6.9,1814
tt0228277,6.2,762
tt0228301,5.3,583
tt0228333,4.9,55280
