tconst,averageRating,numVotes
tt0203835,3.1,898
tt0203912,5.3,97
tt0203940,3.9,3169
tt0203952,4.6,157
tt0203975,4.7,3458
tt0204131,8.1,27
tt0204137,6.6,14433
tt0204175,5.4,17487
tt0204250,2.1,698
tt0204293,7.2,8
tt0204313,5.1,39463
tt0204322,5.0,1012
tt0204350,4.9,1382
tt0204352,6.7,94
tt0204382,7.3,34
tt0204619,4.7,85
tt0204626,5.3,28291
tt0204640,6.7,3453
tt0204679,7.2,18
tt0204698,7.4,44
tt0204700,5.9,9130
tt0204761,5.6,2015
tt0204885,5.7,94
tt0204932,7.3,4417
tt0204933,4.5,165
tt0204946,6.1,103777
tt0205177,5.7,14401
tt0205271,4.7,20152
tt0205380,4.2,184
tt0205418,2.9,2864
tt0205461,4.2,4712
tt0205498,6.0,223
tt0205526,3.6,183
tt0205729,3.8,59
tt0205738,6.6,545
tt0205778,6.6,83
tt0205873,7.2,16979
tt0205936,5.1,250
tt0206075,3.4,611
tt0206088,6.2,345
tt0206098,6.7,70
tt0206113,6.3,1543
tt0206184,5.0,308
tt0206187,6.7,848
tt0206211,7.6,10
tt0206223,4.3,146
tt0206226,6.0,6522
tt0206275,6.2,65431
tt0206314,6.6,75043
tt0206367,5.0,1277
tt0206420,5.3,10874
tt0206545,7.3,63
tt0206608,6.2,194
tt0206634,7.9,523830
tt0206694,6.7,48
tt0206742,6.4,2139
tt0206762,6.3,1505
tt0206778,6.5,68
tt0206917,6.1,16307
tt0206926,5.6,6069
tt0206963,7.2,5849
tt0207036,5.1,685
tt0207051,6.0,336
tt0207161,5.7,1471
tt0207163,6.3,506
tt0207198,6.7,3743
tt0207201,6.4,219729
tt0207333,5.1,890
tt0207337,4.3,34
tt0207377,4.6,922
tt0207501,4.2,47
tt0207524,6.8,3628
tt0207585,5.9,762
tt0207631,4.5,712
tt0207635,6.5,63
tt0207638,5.5,136
tt0207745,4.6,263
tt0207988,6.0,421
tt0208003,5.2,89937
tt0208017,7.8,44
tt0208032,7.1,1246
tt0208037,4.6,444
tt0208050,5.5,406
tt0208092,8.2,898094
tt0208196,7.2,10164
tt0208204,4.3,130
tt0208412,6.8,34
tt0208491,4.6,791
tt0208870,4.0,148
tt0208874,6.9,24868
tt0208883,6.0,110
tt0208889,6.7,91
tt0208899,5.5,183
tt0208910,8.0,23
tt0208911,6.3,1989
tt0208942,4.3,182
tt0208988,5.1,36286
tt0208990,7.3,21281
tt0208993,6.9,1590
tt0209020,4.4,79
tt0209037,6.9,3319
tt0209077,5.8,30642
tt0209109,4.8,699
tt0209144,8.4,1305306
tt0209163,6.4,342450
tt0209180,8.1,4991
tt0209253,4.2,78
tt0209279,5.4,183
tt0209322,6.3,3615
tt0209475,5.3,85548
tt0209486,4.9,497
tt0209941,6.2,89
tt0209958,6.4,108012
tt0210065,6.7,14461
tt0210070,6.8,51569
tt0210075,6.7,11319
tt0210094,5.4,2833
tt0210130,7.8,69
tt0210149,6.0,734
tt0210223,4.7,232
tt0210299,7.3,3663
tt0210357,6.6,264
tt0210358,6.4,7313
