imdb_id,company_id
tt0186549,35315
tt0186549,14275
tt0186549,21332
tt0186566,56201
tt0186566,15436
tt0186566,15190
tt0186566,5355
tt0186566,27112
tt0186894,45628
tt0186975,45628
tt0187078,54978
tt0187078,12610
tt0187251,51408
tt0187387,38196
tt0187393,34570
tt0187393,16945
tt0187393,4649
tt0187393,10111
tt0187559,54978
tt0187696,34376
tt0188055,41894
tt0188055,9409
tt0188055,16059
tt0188055,19098
tt0188160,46656
tt0188490,32015
tt0189456,31873
tt0189998,31148
tt0189998,21774
tt0189998,14615
tt0189998,19201
tt0190052,33328
tt0190052,16985
tt0190138,38609
tt0190138,16672
tt0190138,17544
tt0190138,20379
tt0190138,13844
tt0190138,27112
tt0190332,33890
tt0190332,5508
tt0190332,10288
tt0190332,1970
tt0190332,26225
tt0190332,28073
tt0190332,7451
tt0190332,1462
tt0190332,23073
tt0190374,46656
tt0190374,22557
tt0190374,24117
tt0190374,2809
tt0190374,14971
tt0190374,23563
tt0190398,51846
tt0190449,56238
tt0190524,46419
tt0190524,5374
tt0190590,54978
tt0190590,26268
tt0190590,23865
tt0190590,27603
tt0190590,16234
tt0190736,55423
tt0190736,15734
tt0190736,18026
tt0190861,33372
tt0190865,39367
tt0190865,5506
tt0190994,29694
tt0191037,37793
tt0191037,5268
tt0191242,46618
tt0191397,56570
tt0191397,2894
tt0191397,7211
tt0191636,34286
tt0191636,7852
tt0191636,9400
tt0191636,9402
tt0191754,34570
tt0191754,24481
tt0191996,39649
tt0192255,46656
tt0192295,53197
tt0192295,20097
tt0192295,18955
tt0192295,27855
tt0192295,25718
tt0192346,30980
tt0192346,20198
tt0192455,54377
tt0192614,55706
tt0192614,18250
tt0192614,17443
tt0192614,5843
tt0192719,34769
tt0192719,16731
tt0192731,47574
tt0192731,19109
tt0192731,4340
tt0192731,5506
tt0192912,32828
tt0193135,51618
tt0193854,36550
tt0194104,29794
tt0194218,30663
tt0194218,15190
tt0194218,25177
tt0194218,25425
tt0194218,14409
tt0194368,31730
tt0194368,5283
tt0194368,14641
tt0194368,22366
tt0194368,27112
tt0194410,47778
tt0195234,38108
tt0195234,11317
tt0195234,19518
tt0195234,20828
tt0195234,22727
tt0195234,27162
tt0195308,52869
tt0195685,41941
tt0195714,40184
tt0195714,17390
tt0195714,28019
tt0195778,38725
tt0195778,9348
tt0195944,38283
tt0195944,21065
tt0195945,46656
tt0196106,42481
tt0196106,9628
tt0196216,53559
tt0196216,12582
tt0196723,34100
tt0196723,5151
tt0196723,10474
tt0196723,14714
tt0197072,55652
tt0197096,43708
tt0197299,44978
tt0197384,42526
tt0197384,9706
tt0197384,26222
tt0197644,46273
tt0197750,41626
tt0197750,12336
tt0197750,22727
