title,author,scipt date,script type,movie url,script url
Anonymous,John Orloff,Undated,Draft,https://imsdb.com/Movie%20Scripts/Anonymous%20Script.html,https://imsdb.com/scripts/Anonymous.html
Antitrust,Howard Franklin,Undated,Shooting draft,https://imsdb.com/Movie%20Scripts/Antitrust%20Script.html,https://imsdb.com/scripts/Antitrust.html
Antz,"Todd Alcott,Chris Weitz,Paul Weitz",Undated,Draft,https://imsdb.com/Movie%20Scripts/Antz%20Script.html,https://imsdb.com/scripts/Antz.html
"Apartment, The","Billy Wilder,I.A.L Diamond",Undated,Draft,https://imsdb.com/Movie%20Scripts/Apartment%2C%20The%20Script.html,"https://imsdb.com/scripts/Apartment,-The.html"
Apocalypse Now,"Francis Ford Coppola,John Milius,Joseph Conrad",1975-12,Draft,https://imsdb.com/Movie%20Scripts/Apocalypse%20Now%20Script.html,https://imsdb.com/scripts/Apocalypse-Now.html
Apollo 13,"Jim Lovell,Jeffrey Kluger,William Broyles Jr.,Al Reinert",1995,Draft,https://imsdb.com/Movie%20Scripts/Apollo%2013%20Script.html,https://imsdb.com/scripts/Apollo-13.html
April Fool's Day,Danilo Bach,Undated,Draft,https://imsdb.com/Movie%20Scripts/April%20Fool%27s%20Day%20Script.html,https://imsdb.com/scripts/April-Fool's-Day.html
Apt Pupil,Brandon Boyce,1996-04,Draft,https://imsdb.com/Movie%20Scripts/Apt%20Pupil%20Script.html,https://imsdb.com/scripts/Apt-Pupil.html
Arbitrage,Nicholas Jarecki,2011-04,Draft,https://imsdb.com/Movie%20Scripts/Arbitrage%20Script.html,https://imsdb.com/scripts/Arbitrage.html
Arcade,David S. Goyer,1990-11,Draft,https://imsdb.com/Movie%20Scripts/Arcade%20Script.html,https://imsdb.com/scripts/Arcade.html
Arctic Blue,Ross LaManna,Undated,Draft,https://imsdb.com/Movie%20Scripts/Arctic%20Blue%20Script.html,https://imsdb.com/scripts/Arctic-Blue.html
Argo,Chris Terrio,Undated,Draft,https://imsdb.com/Movie%20Scripts/Argo%20Script.html,https://imsdb.com/scripts/Argo.html
Armageddon,"Jonathan Hensleigh,J.J. Abrams",1998,Draft,https://imsdb.com/Movie%20Scripts/Armageddon%20Script.html,https://imsdb.com/scripts/Armageddon.html
Army of Darkness,"Sam Raimi,Ivan Raimi",1991-01,Draft,https://imsdb.com/Movie%20Scripts/Army%20of%20Darkness%20Script.html,https://imsdb.com/scripts/Army-of-Darkness.html
