tconst,primaryTitle,startYear,runtimeMinutes,imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count,Genre_Name,Genre_Action,Genre_Adult,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Game-Show,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Reality-TV,Genre_Romance,Genre_Sci-Fi,Genre_Short,Genre_Sport,Genre_Talk-Show,Genre_Thriller,Genre_War,Genre_Western,profit,ROI
tt0145937,Naqoyqatsi,2002.0,89,tt0145937,3000000.0,13308.0,PG,en,2002-09-02,8.891,6.2,101,"Documentary,Music",False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-2986692.0,-0.995564
tt0146309,Thirteen Days,2000.0,145,tt0146309,80000000.0,34566700.0,PG-13,en,2000-12-24,9.103,7.0,566,"Drama,Thriller,History",False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-45433300.0,-0.56791625
tt0146316,Lara Croft: Tomb Raider,2001.0,100,tt0146316,115000000.0,274703000.0,PG-13,en,2001-06-11,20.798,5.9,5221,"Fantasy,Action,Adventure",True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,159703000.0,1.3887217391304347
tt0146882,High Fidelity,2000.0,113,tt0146882,30000000.0,47126300.0,R,en,2000-03-17,12.99,7.2,1566,"Comedy,Drama,Music",False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,17126300.0,0.5708766666666667
tt0146984,The Legend of Bagger Vance,2000.0,126,tt0146984,80000000.0,39459400.0,PG-13,en,2000-11-02,8.926,6.5,722,"Fantasy,Drama,Sport",False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-40540600.0,-0.5067575
tt0156323,Screwed,2000.0,81,tt0156323,10000000.0,7201700.0,R,en,2000-05-12,5.95,5.7,65,"Comedy,Crime",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2798300.0,-0.27983
tt0156812,My Dog Skip,2000.0,95,tt0156812,6000000.0,35547800.0,PG,en,2000-01-12,6.973,6.8,236,"Comedy,Drama,Family",False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29547800.0,4.924633333333333
tt0156841,The Next Best Thing,2000.0,108,tt0156841,25000000.0,24362800.0,PG-13,en,2000-03-03,9.146,5.2,158,"Comedy,Romance,Drama",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-637200.0,-0.025488
tt0157472,Clockstoppers,2002.0,94,tt0157472,26000000.0,38793300.0,PG,en,2002-03-17,9.04,5.2,239,"Comedy,Action,Adventure",True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12793300.0,0.49205
tt0158622,The Flintstones in Viva Rock Vegas,2000.0,90,tt0158622,83000000.0,59468300.0,PG,en,2000-04-28,15.129,4.8,593,"Comedy,Romance,Family",False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-23531700.0,-0.2835144578313253
tt0159273,Behind Enemy Lines,2001.0,106,tt0159273,40000000.0,91753200.0,PG-13,en,2001-11-30,19.087,6.3,1150,"Drama,Action,Thriller",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,51753200.0,1.29383
